"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JLTWP6JQ","conferencePaper","2022","Thangamuthu, Abishek; Kumar, Gunjan; Bishnoi, Suresh; Bhattoo, Ravinder; Krishnan, N. M. Anoop; Ranu, Sayan","Unravelling the Performance of Physics-informed Graph Neural Networks for Dynamical Systems","","","","","https://openreview.net/forum?id=tXEe-Ew_ikh","Recently, graph neural networks have been gaining a lot of attention to simulate dynamical systems due to their inductive nature leading to zero-shot generalizability. Similarly, physics-informed inductive biases in deep-learning frameworks have been shown to give superior performance in learning the dynamics of physical systems. There is a growing volume of literature that attempts to combine these two approaches. Here, we evaluate the performance of thirteen different graph neural networks, namely, Hamiltonian and Lagrangian graph neural networks, graph neural ODE, and their variants with explicit constraints and different architectures. We briefly explain the theoretical formulation highlighting the similarities and differences in the inductive biases and graph architecture of these systems. Then, we evaluate them on spring, pendulum, and gravitational and 3D deformable solid systems to compare the performance in terms of rollout error, conserved quantities such as energy and momentum, and generalizability to unseen system sizes. Our study demonstrates that GNNs with additional inductive biases, such as explicit constraints and decoupling of kinetic and potential energies, exhibit significantly enhanced performance. Further, all the physics-informed GNNs exhibit zero-shot generalizability to system sizes an order of magnitude larger than the training system, thus providing a promising route to simulate large-scale realistic systems.","2022-09-17","2023-05-19 17:57:04","2023-05-19 17:57:04","2023-05-19 17:57:04","","","","","","","","","","","","","","en","","","","","openreview.net","","","","/Users/ravinder/Zotero/storage/S3P52CKL/Thangamuthu et al. - 2022 - Unravelling the Performance of Physics-informed Gr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thirty-sixth Conference on Neural Information Processing Systems Datasets and Benchmarks Track","","","","","","","","","","","","","","",""
"6R8JULBD","conferencePaper","2022","Bhattoo, Ravinder; Ranu, Sayan; Krishnan, N. M. Anoop","Learning Articulated Rigid Body Dynamics with Lagrangian Graph Neural Network","","","","","https://openreview.net/forum?id=nOdfIbo3A-F","Lagrangian and Hamiltonian neural networks LNN and HNNs, respectively) encode strong inductive biases that allow them to outperform other models of physical systems significantly. However, these models have, thus far, mostly been limited to simple systems such as pendulums and springs or a single rigid body such as a gyroscope or a rigid rotor. Here, we present a Lagrangian graph neural network (LGNN) that can learn the dynamics of articulated rigid bodies by exploiting their topology. We demonstrate the performance of LGNN by learning the dynamics of ropes, chains, and trusses with the bars modeled as rigid bodies. LGNN also exhibits generalizability---LGNN trained on chains with a few segments exhibits generalizability to simulate a chain with large number of links and arbitrary link length. We also show that the LGNN can simulate unseen hybrid systems including bars and chains, on which they have not been trained on. Specifically, we show that the LGNN can be used to model the dynamics of complex real-world structures such as the stability of tensegrity structures. Finally, we discuss the non-diagonal nature of the mass matrix and its ability to generalize in complex systems.","2022-10-31","2023-05-19 17:57:09","2023-05-19 17:57:09","2023-05-19 17:57:09","","","","","","","","","","","","","","en","","","","","openreview.net","","","","/Users/ravinder/Zotero/storage/KUQY7IMH/Bhattoo et al. - 2022 - Learning Articulated Rigid Body Dynamics with Lagr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Advances in Neural Information Processing Systems","","","","","","","","","","","","","","",""
"8MXJ685Q","conferencePaper","2023","Bishnoi, Suresh; Bhattoo, Ravinder; Jayadeva, Jayadeva; Ranu, Sayan; Krishnan, N. M. Anoop","Enhancing the Inductive Biases of Graph Neural ODE for Modeling Physical Systems","","","","","https://openreview.net/forum?id=ATLEl_izD87","Neural networks with physics-based inductive biases such as Lagrangian neural networks (LNNs), and Hamiltonian neural networks (HNNs) learn the dynamics of physical systems by encoding strong inductive biases. Alternatively, Neural ODEs with appropriate inductive biases have also been shown to give similar performances. However, these models, when applied to particle-based systems, are transductive in nature and hence, do not generalize to large system sizes. In this paper, we present a graph-based neural ODE, GNODE, to learn the time evolution of dynamical systems. Further, we carefully analyze the role of different inductive biases on the performance of GNODE. We show that similar to LNN and HNN, encoding the constraints explicitly can significantly improve the training efficiency and performance of GNODE significantly. Our experiments also assess the value of additional inductive biases, such as Newton’s third law, on the final performance of the model. We demonstrate that inducing these biases can enhance the performance of the model by orders of magnitude in terms of both energy violation and rollout error. Interestingly, we observe that the GNODE trained with the most effective inductive biases, namely MCGNODE, outperforms the graph versions of LNN and HNN, namely, Lagrangian graph networks (LGN) and Hamiltonian graph networks (HGN) in terms of energy violation error by ∼4 orders of magnitude for a pendulum system, and ∼2 orders of magnitude for spring systems. These results suggest that NODE-based systems can give competitive performances with energy-conserving neural networks by employing appropriate inductive biases.","2023-02-01","2023-05-19 17:57:12","2023-05-19 17:57:12","2023-05-19 17:57:12","","","","","","","","","","","","","","en","","","","","openreview.net","","","","/Users/ravinder/Zotero/storage/SVEG4P9G/Bishnoi et al. - 2023 - Enhancing the Inductive Biases of Graph Neural ODE.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Eleventh International Conference on Learning Representations","","","","","","","","","","","","","","",""
"RLRWR8LB","conferencePaper","2023","Bishnoi, Suresh; Bhattoo, Ravinder; Jayadeva, Jayadeva; Ranu, Sayan; Krishnan, N. M. Anoop","Learning the Dynamics of Physical Systems with Hamiltonian Graph Neural Networks","","","","","https://openreview.net/forum?id=Ugl-B_at5n","Inductive biases in the form of conservation laws have been shown to provide superior performance for modeling physical systems. Here, we present Hamiltonian graph neural network (HGNN), a physics-informed GNN that learns the dynamics directly from the trajectory. We evaluate the performance of HGNN on spring, pendulum, and gravitational systems and show that it outperforms other Hamiltonian-based neural networks. We also demonstrate the zero-shot generalizability of HGNN to unseen hybrid spring-pendulum systems and system sizes that are two orders of magnitude larger than the training systems. HGNN provides excellent inference in all the systems providing a stable trajectory. Altogether, HGNN presents a promising approach to modeling complex physical systems directly from their trajectory.","2023-03-03","2023-05-19 17:57:15","2023-05-19 17:57:15","2023-05-19 17:57:15","","","","","","","","","","","","","","en","","","","","openreview.net","","","","/Users/ravinder/Zotero/storage/LB7ZL6Q9/Bishnoi et al. - 2023 - Learning the Dynamics of Physical Systems with Ham.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICLR 2023 Workshop on Physics for Machine Learning","","","","","","","","","","","","","","",""
"7FNHHIXZ","preprint","2021","Bhattoo, Ravinder; Ranu, Sayan; Krishnan, N. M. Anoop","Lagrangian Neural Network with Differentiable Symmetries and Relational Inductive Bias","","","","10.48550/arXiv.2110.03266","http://arxiv.org/abs/2110.03266","Realistic models of physical world rely on differentiable symmetries that, in turn, correspond to conservation laws. Recent works on Lagrangian and Hamiltonian neural networks show that the underlying symmetries of a system can be easily learned by a neural network when provided with an appropriate inductive bias. However, these models still suffer from issues such as inability to generalize to arbitrary system sizes, poor interpretability, and most importantly, inability to learn translational and rotational symmetries, which lead to the conservation laws of linear and angular momentum, respectively. Here, we present a momentum conserving Lagrangian neural network (MCLNN) that learns the Lagrangian of a system, while also preserving the translational and rotational symmetries. We test our approach on linear and non-linear spring systems, and a gravitational system, demonstrating the energy and momentum conservation. We also show that the model developed can generalize to systems of any arbitrary size. Finally, we discuss the interpretability of the MCLNN, which directly provides physical insights into the interactions of multi-particle systems.","2021-10-12","2023-05-19 17:57:20","2023-05-19 17:57:20","2023-05-19 17:57:20","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2110.03266 [cond-mat]","","/Users/ravinder/Zotero/storage/8PZPURXK/Bhattoo et al. - 2021 - Lagrangian Neural Network with Differentiable Symm.pdf; /Users/ravinder/Zotero/storage/A6BV96K3/2110.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Condensed Matter - Materials Science; Mathematics - Dynamical Systems","","","","","","","","","","","","","","","","","","","arXiv:2110.03266","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGCSG3DT","journalArticle","2020","Ravinder, R.; Garg, Prateet; Krishnan, N. M. Anoop","Glass Transition and Crystallization in Hexagonal Boron Nitride: Crucial Role of Orientational Order","Advanced Theory and Simulations","","2513-0390","10.1002/adts.201900174","https://onlinelibrary.wiley.com/doi/abs/10.1002/adts.201900174","While extensive studies have been carried out on 2D crystals, their disordered counterpart, namely 2D glasses, remain poorly explored. Using molecular dynamics simulation, it is demonstrated that hexagonal boron nitride (h-BN) can exhibit crystallization and glass transition. Similar to archetypical glasses, it is observed that the glassy structures are disordered, marked by the absence of any long-range order while exhibiting some short-range order. Further, the structures obtained are stable in three dimensions, confirming the realistic nature of the 2D glasses. Interestingly, it is observed that the orientational order of the h-BN structure with respect to density as well as ground state enthalpy follows a master curve for both crystallization and glass transition, revealing thermally accessible regions for the structure. Further, the standard deviation of orientational order provides information about the spatial heterogeneity in the structure, the rearrangement of which results in the formation of crystal/glass. This suggests that the orientational order may play a crucial role in controlling the propensity for crystallization/glass transition in systems having directional bonds.","2020","2023-05-19 17:57:25","2023-05-19 17:57:25","2023-05-19 17:57:24","1900174","","2","3","","","Glass Transition and Crystallization in Hexagonal Boron Nitride","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/adts.201900174","","/Users/ravinder/Zotero/storage/M4BGECMX/Ravinder et al. - 2020 - Glass Transition and Crystallization in Hexagonal .pdf","","","2D glasses; boron nitride; glass transition; orientational order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGEKYDLB","journalArticle","2019","Ravinder, R.; Kumar, Rajesh; Agarwal, Manish; Krishnan, N. M. Anoop","Evidence of a two-dimensional glass transition in graphene: Insights from molecular simulations","Scientific Reports","","2045-2322","10.1038/s41598-019-41231-z","https://www.nature.com/articles/s41598-019-41231-z","Liquids exhibit a sudden increase in viscosity when cooled fast enough, avoiding thermodynamically predicted route of crystallization. This phenomenon, known as glass transition, leads to the formation of non-periodic structures known as glasses. Extensive studies have been conducted on model materials to understand glass transition in two dimensions. However, despite the synthesis of disordered/amorphous single-atom thick structures of carbon, little attention has been given to glass transition in realistic two-dimensional materials such as graphene. Herein, using molecular dynamics simulation, we demonstrate the existence of glass transition in graphene leading to a realistic two-dimensional glassy structure, namely glassy graphene. We show that the resulting glassy structure exhibits excellent agreement with experimentally realized disordered graphene. Interestingly, this glassy graphene exhibits a wrinkled but stable structure, with reduced thermal vibration in comparison to its crystalline counterpart. We suggest that the topological disorder induced by glass transition governs the unique properties of this structure.","2019-03-14","2023-05-19 17:57:29","2023-05-19 17:57:29","2023-05-19 17:57:29","4517","","1","9","","Sci Rep","Evidence of a two-dimensional glass transition in graphene","","","","","","","en","2019 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","/Users/ravinder/Zotero/storage/J7S4VEWK/Ravinder et al. - 2019 - Evidence of a two-dimensional glass transition in .pdf","","","Atomistic models; Glasses; Structure of solids and liquids; Two-dimensional materials","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VD6P23H5","journalArticle","2019","Rivera, Jared; Berjikian, Jonathan; Ravinder, R.; Kodamana, Hariprasad; Das, Sumanta; Bhatnagar, Naresh; Bauchy, Mathieu; Krishnan, N. M. Anoop","Glass Fracture Upon Ballistic Impact: New Insights From Peridynamics Simulations","Frontiers in Materials","","2296-8016","10.3389/fmats.2019.00239","https://www.frontiersin.org/articles/10.3389/fmats.2019.00239","Most glasses are often exposed to impact loading during their service life, which may lead to the failure of the structure. While in situ experimental studies on impact-induced damage are challenging due to the short timescales involved, continuum-based computational studies are complicated by the discontinuity in the displacement field arising from the propagation of cracks. Here, using peridynamics simulations, we investigate the role of the mechanical properties and geometry in determining the overall damage on a glass plate subjected to ballistic impact. In particular, we analyze the role of bullet velocity, bullet material, and elastic modulus, fracture energy, and radius of the plate. Interestingly, we observe a power-law dependence between the total damage and the fracture energy of the glass plate. Through an auto-regressive analysis of the evolution of cracks, we demonstrate that the self-affine growth of cracks leads to this power-law dependence. Overall, the present study illustrates how peridynamic simulations can offer new insights into the fracture mechanics of glasses subjected to ballistic impacts. This improved understanding can pave way to the design and development of glasses with improved impact-resistance for applications ranging from windshields and smart-phone screens to ballistics.","2019","2023-05-19 17:57:33","2023-05-19 18:12:31","2023-05-19 17:57:33","","","","6","","","Glass Fracture Upon Ballistic Impact","","","","","","","","","","","","Frontiers","","","","/Users/ravinder/Zotero/storage/WZ83MEZR/Rivera et al. - 2019 - Glass Fracture Upon Ballistic Impact New Insights.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5LARYKQ","journalArticle","2019","Dhawan, Sameer; Ghosh, Sukanya; Ravinder, R.; Bais, Sachendra S.; Basak, Soumen; Krishnan, N. M. Anoop; Agarwal, Manish; Banerjee, Manidipa; Haridas, V.","Redox Sensitive Self-Assembling Dipeptide for Sustained Intracellular Drug Delivery","Bioconjugate Chemistry","","1043-1802","10.1021/acs.bioconjchem.9b00532","https://doi.org/10.1021/acs.bioconjchem.9b00532","The rational design and synthesis of molecules with functional supramolecular assemblies continues to be a challenging endeavor. Self-assembled nano- and microstructures from natural building blocks are considered more appropriate for medical applications due to their biocompatible nature. We report for the first time a simple redox-responsive dipeptide that self-assembles to form vesicles in aqueous medium. The experimental results based on the control compound and all-atom molecular dynamics (MD) simulations support the mechanism of association through intermolecular π–π interactions between the indole rings of tryptophan residues. These peptide vesicles showed a DOX loading capacity of ∼16% (w/w) and redox-triggered controlled release of the packaged drug. The drug-loaded vesicles were able to penetrate into MDA-MB-231 and HeLa cells, and release payload, suggesting their putative use as chemotherapeutic delivery vehicles. These natural peptide-based carriers disassemble inside cells due to the high cytosolic GSH concentration, and the resultant Cys-Trp dipeptide is degradable. The minimalistic peptide design presented here, coupled with the propensity to form vesicles that can encapsulate the chemotherapeutic drug, opens up unlimited potential for engineering targeted sustained-release drug delivery vehicles.","2019-09-18","2023-05-19 17:57:38","2023-05-19 17:57:38","2023-05-19 17:57:38","2458-2468","","9","30","","Bioconjugate Chem.","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/ravinder/Zotero/storage/5EGNR598/acs.bioconjchem.html; /Users/ravinder/Zotero/storage/W8VVHRSF/Dhawan et al. - 2019 - Redox Sensitive Self-Assembling Dipeptide for Sust.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8EQYNLI","journalArticle","2019","Bishnoi, Suresh; Singh, Sourabh; Ravinder, R.; Bauchy, Mathieu; Gosvami, Nitya Nand; Kodamana, Hariprasad; Krishnan, N. M. Anoop","Predicting Young's modulus of oxide glasses with sparse datasets using machine learning","Journal of Non-Crystalline Solids","","0022-3093","10.1016/j.jnoncrysol.2019.119643","https://www.sciencedirect.com/science/article/pii/S0022309319305149","Machine learning (ML) methods are becoming popular tools for predicting and designing novel materials. In particular, neural network (NN) is a promising ML method, which can be used to identify hidden trends in the data. However, these methods rely on a large dataset and often exhibit overfitting when used with a sparse dataset. Further, assessing the uncertainty in predictions for a new dataset or an extrapolation of the present dataset is challenging. Herein, using Gaussian process regression (GPR), we predict Young's modulus for silicate glasses having a sparse dataset. We show that GPR significantly outperforms NN for the sparse dataset while ensuring no overfitting. Further, thanks to the nonparametric nature, GPR provides quantitative bounds for the reliability of predictions while extrapolating. Overall, GPR presents an advanced ML methodology for accelerating the development of novel functional materials such as glasses.","2019-11-15","2023-05-19 17:57:42","2023-05-19 17:57:42","2023-05-19 17:57:42","119643","","","524","","Journal of Non-Crystalline Solids","","","","","","","","en","","","","","ScienceDirect","","","","/Users/ravinder/Zotero/storage/2NIN4G8H/Bishnoi et al. - 2019 - Predicting Young's modulus of oxide glasses with s.pdf","","","Gaussian process regression; Neural network; Silicate glasses; Sparse dataset; Young's modulus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
